id_starname,dr3_source_id,bpmag,bpmag_err,rpmag,rpmag_err,parallax,parallax_err,feh,feh_err,feh_prov,ruwe
tic410214986,6387058411482257536,8.695542,0.005043,7.8091,0.004951,22.64888,0.015000000000000001,-0.0546937431327574,0.15,Poly,0.913
tic139086171,4029081538745348992,12.181677,0.002837,11.24452,0.003795,5.007114,0.0173,,,None,1.131
tic308098254,3558354604869150208,12.444094,0.002893,11.506018,0.003808,3.277326,0.0171,0.3002381356150438,0.15,Poly,1.071
tic308987429,5290058343146293504,14.216106,0.003072,13.275011,0.003869,1.7429029999999,0.0124,-0.1723351666461168,0.15,Poly,1.075
tic421336001,2235987191508939904,14.242614,0.002999,13.379164,0.00383,1.433508,0.0131,0.1848036511416211,0.15,Poly,1.111
tic9155187,920308932010648448,12.325464,0.00301,11.395537,0.00381,3.68846,0.0173,0.2421300716844827,0.15,Poly,1.118
tic422884521,2501434965175688448,14.21273,0.00297,13.343051,0.0039,1.5385709999999,0.0179,-0.012199127530569,0.15,Poly,1.026
tic361710792,5820931075628056192,13.432391,0.003101,12.482046,0.003909,2.490992,0.0112,0.1298926342344053,0.15,Poly,0.97
tic235077268,4795937817620057216,14.164007,0.002939,13.220206,0.00383,1.750751,0.024300000000000002,-0.0813088990843331,0.15,Poly,2.132
tic170367033,5558970609233047552,13.960403,0.002894,13.094638,0.003836,1.4439379999998998,0.0102,0.1083784423363463,0.15,Poly,1.0
tic169448297,2989346514177994880,13.344581,0.003081,12.394872,0.003885,1.255938,0.0164,-0.1327656236114869,0.15,Poly,0.998
tic445859771,1611685004650291840,11.205008,0.002822,10.360259,0.003789,5.678343,0.0103,0.2158451659826363,0.15,Poly,0.855
tic322901324,5210109141836665344,13.376212,0.002914,12.503167,0.003817,2.338314,0.0102,-0.0224152552071252,0.15,Poly,0.911
tic147857396,5569668719931962496,13.762964,0.002896,12.904558,0.003845,1.4921389999999999,0.0109,0.2299219177965152,0.15,Poly,0.948
tic148833828,6005773858021162624,10.979575,0.002842,10.134249,0.003795,2.901869,0.0266,0.0013885972825349,0.15,Poly,1.634
tic400515645,3452490047638548736,13.616256,0.002884,12.742015,0.003832,1.11123,0.0354,-0.2396519026966865,0.15,Poly,2.192
tic31786438,6756139962141482624,13.694252,0.002925,12.828279,0.003834,1.314181,0.0393,-0.1600192759473806,0.15,Poly,2.726
tic72556406,3005862518856922752,11.611672,0.003649,10.751798,0.004165,3.01893,0.0244,-0.1819859054135406,0.15,Poly,1.346
tic121966220,201724172833886464,11.585314,0.002847,10.74087,0.003804,2.091365,0.02,,,None,0.979
tic315096343,5658124773985620864,12.466553,0.002821,11.603597,0.003796,1.807959,0.0276,,,None,2.58
tic264295655,2298784629896536320,13.295869,0.002924,12.356475,0.003808,3.1467880000000004,0.012799999999999999,0.0216850435457622,0.15,Poly,1.05
tic237332812,6490659447933211776,10.199506,0.002804,9.282828,0.003784,12.715759,0.0134,-0.1437815585342692,0.15,Poly,0.973
tic115524421,1358355738906114816,12.463594,0.00297,11.5315,0.003823,4.036677999999901,0.0098,0.2589789050473952,0.15,Poly,0.886
tic117979850,2980377488593201920,8.595736,0.002809,7.776854,0.003788,8.111362,0.0432,-0.2508419710825675,0.15,Poly,2.458
tic348756659,5736511290093085056,13.024436,0.003929,12.163484,0.004426,2.331022,0.019,-0.2922309340203979,0.15,Poly,1.151
tic372960748,5244884426888817536,13.633762,0.002963,12.689005,0.003869,1.437775,0.0102,-0.1940766843532486,0.15,Poly,1.011
tic384016413,5778975704768120320,13.459493,0.002878,12.513711,0.003795,1.269695,0.0107,0.0858231002188887,0.15,Poly,1.035
tic460984940,5251941573573934080,9.615028,0.002818,8.69846,0.003792,15.494527,0.0108,0.1959501657280178,0.15,Poly,0.868
tic343019899,2005028761147595648,10.847236,0.002809,10.005656,0.003788,6.768938,0.012700000000000001,0.1561184440589862,0.15,Poly,0.922
tic20897611,2365517907595832192,11.253413,0.005935,10.386356,0.005601,5.880446,0.018199999999999997,0.0180672526397032,0.15,Poly,0.88
tic232976128,1678371724905519744,11.083452,0.002827,10.15394,0.003791,7.173236999999999,0.0104,0.333588803062482,0.15,Poly,0.893
tic289307883,1839605239578352896,13.306986,0.002963,12.347622,0.003875,2.061441,0.0173,-0.2161541870250962,0.15,Poly,1.037
tic4897275,796063843195758208,8.41702,0.002805,7.596542,0.00379,18.606683,0.0239,-0.0192653036764491,0.15,Poly,0.96
tic229715760,2259596248776175616,13.574877,0.002928,12.71056,0.003847,1.4163649999999999,0.0099,,,None,0.981
tic147284470,6565632603211223808,14.124811,0.003017,13.26563,0.004869,1.474179,0.0168,0.029687182705242,0.15,Poly,0.988
tic1525480,3748285171163441792,13.144542,0.002911,12.201872,0.003845,2.9667589999999997,0.0191,0.0448418567821757,0.15,Poly,1.137
tic96317115,5607425811794016640,12.532296,0.002843,11.685051,0.003793,2.962333,0.0144,0.1088876536345857,0.15,Poly,1.413
tic443213925,3001146090714250752,10.928147,0.002817,10.084665,0.00379,6.0163569999999,0.0149,0.1778036319318809,0.15,Poly,1.028
tic283015592,432141093729340544,13.375558,0.002857,12.480032,0.003818,1.168136,0.0125,,,None,1.036
tic235905185,2294609097050849664,13.75913,0.003303,12.809836,0.003931,2.101842,0.0098,0.0724319729045532,0.15,Poly,1.053
tic233188747,1695275135634984576,13.65589,0.002887,12.707951,0.003821,2.149293,0.0104,0.3032010539513772,0.15,Poly,0.962
tic463203560,5258201471221616384,11.461355,0.002877,10.617594,0.003802,4.834075,0.0118,0.1845158248968932,0.15,Poly,0.771
tic27318774,2135184068555793024,15.232772,0.003257,14.371653,0.003876,0.868717,0.0171,0.0591119369119139,0.15,Poly,1.026
tic201508515,2896290202258381056,12.33005,0.002875,11.480798,0.003977,2.632462,0.0126,-0.0559723030818881,0.15,Poly,1.199
tic190250689,965087638268097152,13.439613,0.002989,12.48404,0.003913,1.91329,0.0158,0.2440767347295329,0.15,Poly,0.968
tic302054555,5811785440984123264,13.269075,0.002838,12.40141,0.003792,1.103524,0.012799999999999999,0.2508271900548608,0.15,Poly,0.93
tic257605131,4844691297067063424,11.131156,0.003521,10.213574,0.004077,8.1140119999999,0.0108,0.1813669371142916,0.15,Poly,0.949
tic264912889,454325218286020224,12.231631,0.002858,11.361395,0.003797,1.477395,0.014,-0.3545524999999999,0.2,Med,1.073
tic120247528,6636468291937180544,12.459553,0.002844,11.518578,0.00379,3.432184,0.011600000000000001,0.224689970372836,0.15,Poly,0.945
tic34297761,5411470059225900800,11.631547,0.002827,10.793568,0.003807,3.729019,0.0156,0.1431995570268371,0.15,Poly,0.982
tic282091492,5216861513324279424,13.009185,0.003082,12.158738,0.003886,1.513209,0.011600000000000001,0.2069995600009253,0.15,Poly,1.043
tic281924357,5216790594823376640,11.711695,0.002999,10.86595,0.003883,4.548578,0.0104,-0.0983447393861363,0.15,Poly,0.755
tic409594381,3032656414642552192,11.793946,0.002832,10.946172,0.003796,2.991654,0.0166,0.1919325267389959,0.15,Poly,0.869
tic131419624,5538975509255287680,13.712207,0.002834,12.754629,0.0038,1.172438,0.011399999999999999,-0.2263322365298927,0.15,Poly,0.951
